id,postcode,name,id_oblast
1,4645, юакюмхжю,14
2,5574, юакюмхжю,12
3,2932, юакюмхжю,1
4,9407, юапхр,9
5,6797, юбпюлнбн,10
6,2795, юбпюлнбн,1
7,9135, юбпем,3
8,6930, юбпем,10
9,5431, юцюрнбн,8
10,5350, юглюмхре,8
11,7538, юиделхп,20
12,6639, юипнбн,10
13,8500, юирня,2
14,4483, юйюмдфхебн,14
15,3727, юйюжхебн,6
16,9154, юйяюйнбн,3
17,4984, юкюлнбжх,22
18,6850, юкаюмжх,10
19,9620, юкаемю,9
20,7752, юкбюмнбн,26
21,2222, юкднлхпнбжх,23
22,4411, юкейн йнмярюмрхмнбн,14
23,7555, юкейнбн,20
24,5288, юкейнбн,5
25,9404, юкейяюмдпхъ,9
26,4656, юкейяюмдпнбю,14
27,5560, юкейяюмдпнбн,12
28,6154, юкейяюмдпнбн,25
29,8211, юкейяюмдпнбн,2
30,5289, юкейяюмдпнбн,5
31,9829, юкейяюмдпнбн,28
32,8653, юкейяюмдпнбн,29
33,7761, юкейяюмдпнбн,26
34,6351, юкейяюмдпнбн,27
35,9565, юкейяюмдзп ярюланкх,9
36,4621, юкемдюпнбю,14
37,4787, юкхцнбяйю,22
38,2019, юкхмн,23
39,3251, юкрхлхп,7
40,7570, юктюрюп,20
41,9496, юкжей,9
42,6373, юмцек бнибндю,27
43,9483, юмцекюпхи,9
44,5342, юмцекнб,8
45,2085, юмцекнб днк,23
46,4331, юмебн,17
47,3776, юмрхлнбн,6
48,7628, юмрхлнбн,20
49,2089, юмрнм,23
50,7970, юмрнмнбн,26
51,5094, юокюжх,5
52,2128, юопхкнбн,23
53,6281, юопхкнбн,25
54,7864, юопхкнбн,26
55,5641, юопхкжх,12
56,4445, юопхкжх,14
57,5029, юпаюмюях,5
58,4790, юпдю,22
59,6750, юпдхмн,10
60,2386, юпгюм,15
61,9246, юпйнбмю,3
62,5347, юплемхре,8
63,5363, юплъмйнбжх,8
64,6069, юпмюсрхрн,25
65,4922, юпоюдфхй,22
